igrac1,igrac2,bodovi1,bodovi2,ideZa,igraoPrvi
randomdraw@localhost,throwbigatend@localhost,30,60,1,randomdraw@localhost
,,,,,
,,,,,
throwbigatendtakeall@localhost,randomdraw@localhost,80,70,1,throwbigatendtakeall@localhost
throwbigatendtakeall@localhost,randomdraw@localhost,40,50,1,throwbigatendtakeall@localhost
throwbigatstarttakeall@localhost,throwbigatstart@localhost,30,60,1,throwbigatstarttakeall@localhost
randomdraw@localhost,throwbigatstart@localhost,90,0,2,randomdraw@localhost
throwbigatend@localhost,throwbigatstarttakeall@localhost,20,70,1,throwbigatend@localhost
throwbigatstarttakeall@localhost,throwbigatstart@localhost,30,60,1,throwbigatstarttakeall@localhost
randomdraw@localhost,throwbigatstart@localhost,10,80,1,throwbigatstart@localhost
throwbigatend@localhost,throwbigatstarttakeall@localhost,70,20,1,throwbigatend@localhost
throwbigatstart@localhost,randomdraw@localhost,70,20,1,throwbigatstart@localhost
throwbigatendtakeall@localhost,randomdraw@localhost,60,30,1,randomdraw@localhost
randomdraw@localhost,throwbigatstart@localhost,50,40,1,throwbigatstart@localhost
throwbigatendtakeall@localhost,randomdraw@localhost,20,70,1,throwbigatendtakeall@localhost
throwbigatendtakeall@localhost,randomdraw@localhost,70,20,1,randomdraw@localhost
throwbigatendtakeall@localhost,throwbigatstart@localhost,60,30,1,throwbigatendtakeall@localhost
throwbigatendtakeall@localhost,throwbigatstart@localhost,60,30,1,throwbigatendtakeall@localhost
throwbigatendtakeall@localhost,throwbigatstarttakeall@localhost,40,50,1,throwbigatstarttakeall@localhost
throwbigatstarttakeall@localhost,throwbigatendtakeall@localhost,30,60,1,throwbigatstarttakeall@localhost
randomdraw@localhost,throwbigatend@localhost,0,90,2,throwbigatend@localhost
randomdraw@localhost,throwbigatend@localhost,40,50,1,throwbigatend@localhost
throwbigatend@localhost,throwbigatendtakeall@localhost,50,40,1,throwbigatend@localhost
randomdraw@localhost,throwbigatendtakeall@localhost,40,50,1,randomdraw@localhost
randomdraw@localhost,throwbigatendtakeall@localhost,60,30,1,randomdraw@localhost
randomdraw@localhost,throwbigatstarttakeall@localhost,20,70,1,throwbigatstarttakeall@localhost
throwbigatstart@localhost,throwbigatend@localhost,90,0,2,throwbigatstart@localhost
throwbigatend@localhost,throwbigatendtakeall@localhost,40,50,1,throwbigatend@localhost
throwbigatendtakeall@localhost,throwbigatend@localhost,20,70,1,throwbigatendtakeall@localhost
randomdraw@localhost,throwbigatendtakeall@localhost,50,40,1,randomdraw@localhost
throwbigatend@localhost,throwbigatstarttakeall@localhost,10,80,1,throwbigatstarttakeall@localhost
throwbigatstarttakeall@localhost,throwbigatstart@localhost,40,50,1,throwbigatstarttakeall@localhost
throwbigatendtakeall@localhost,randomdraw@localhost,40,50,1,throwbigatendtakeall@localhost
throwbigatend@localhost,throwbigatstart@localhost,40,50,1,throwbigatend@localhost
throwbigatendtakeall@localhost,throwbigatend@localhost,30,60,1,throwbigatend@localhost
throwbigatend@localhost,throwbigatstart@localhost,10,80,1,throwbigatend@localhost
throwbigatstarttakeall@localhost,randomdraw@localhost,40,50,1,randomdraw@localhost
randomdraw@localhost,and,40,50,1,randomdraw@localhost
throwbigatstart@localhost,randomdraw@localhost,80,10,1,throwbigatstart@localhost
throwbigatstart@localhost,throwbigatstarttakeall@localhost,70,20,1,throwbigatstarttakeall@localhost
throwbigatendtakeall@localhost,throwbigatstarttakeall@localhost,60,30,1,throwbigatendtakeall@localhost
randomdraw@localhost,throwbigatend@localhost,20,70,1,throwbigatend@localhost
randomdraw@localhost,throwbigatend@localhost,50,40,1,throwbigatend@localhost
throwbigatend@localhost,randomdraw@localhost,80,10,1,throwbigatend@localhost
throwbigatend@localhost,throwbigatendtakeall@localhost,50,40,1,throwbigatendtakeall@localhost
throwbigatstart@localhost,throwbigatstarttakeall@localhost,70,20,1,throwbigatstart@localhost
throwbigatendtakeall@localhost,throwbigatend@localhost,20,70,1,throwbigatend@localhost
throwbigatendtakeall@localhost,throwbigatstarttakeall@localhost,50,40,1,throwbigatstarttakeall@localhost
throwbigatstart@localhost,throwbigatendtakeall@localhost,20,70,1,throwbigatendtakeall@localhost
throwbigatend@localhost,throwbigatstarttakeall@localhost,50,40,1,throwbigatstarttakeall@localhost
throwbigatend@localhost,randomdraw@localhost,60,30,1,throwbigatend@localhost
throwbigatendtakeall@localhost,throwbigatend@localhost,50,40,1,throwbigatendtakeall@localhost
throwbigatstarttakeall@localhost,randomdraw@localhost,30,60,1,randomdraw@localhost
throwbigatend@localhost,throwbigatendtakeall@localhost,50,40,1,throwbigatend@localhost
throwbigatstart@localhost,randomdraw@localhost,90,0,2,throwbigatstart@localhost
throwbigatstart@localhost,throwbigatstarttakeall@localhost,60,30,1,throwbigatstart@localhost
throwbigatstart@localhost,throwbigatend@localhost,80,10,1,throwbigatstart@localhost
throwbigatendtakeall@localhost,throwbigatstart@localhost,60,30,1,throwbigatendtakeall@localhost
throwbigatstarttakeall@localhost,throwbigatstart@localhost,20,70,1,throwbigatstart@localhost
throwbigatstart@localhost,throwbigatendtakeall@localhost,20,70,1,throwbigatstart@localhost
throwbigatstarttakeall@localhost,randomdraw@localhost,30,60,1,throwbigatstarttakeall@localhost
throwbigatendtakeall@localhost,throwbigatstarttakeall@localhost,70,20,1,throwbigatendtakeall@localhost
throwbigatend@localhost,throwbigatstarttakeall@localhost,40,50,1,throwbigatstarttakeall@localhost
randomdraw@localhost,throwbigatstarttakeall@localhost,30,60,1,randomdraw@localhost
throwbigatstart@localhost,throwbigatend@localhost,20,70,1,throwbigatend@localhost
throwbigatstarttakeall@localhost,throwbigatendtakeall@localhost,20,70,1,throwbigatstarttakeall@localhost
throwbigatstarttakeall@localhost,randomdraw@localhost,70,20,1,randomdraw@localhost
throwbigatstarttakeall@localhost,randomdraw@localhost,50,40,1,randomdraw@localhost
throwbigatendtakeall@localhost,throwbigatstart@localhost,30,60,1,throwbigatstart@localhost
throwbigatstarttakeall@localhost,randomdraw@localhost,80,10,1,randomdraw@localhost
throwbigatstart@localhost,throwbigatendtakeall@localhost,0,90,2,throwbigatendtakeall@localhost
throwbigatstart@localhost,randomdraw@localhost,50,40,1,randomdraw@localhost
randomdraw@localhost,throwbigatstarttakeall@localhost,10,80,1,randomdraw@localhost
throwbigatstarttakeall@localhost,randomdraw@localhost,40,50,1,randomdraw@localhost
throwbigatendtakeall@localhost,throwbigatstart@localhost,60,30,1,throwbigatendtakeall@localhost
throwbigatend@localhost,throwbigatstarttakeall@localhost,60,30,1,throwbigatend@localhost
randomdraw@localhost,throwbigatstart@localhost,0,90,2,throwbigatstart@localhost
randomdraw@localhost,throwbigatstarttakeall@localhost,0,90,2,throwbigatstarttakeall@localhost
randomdraw@localhost,throwbigatstart@localhost,50,40,1,randomdraw@localhost
randomdraw@localhost,throwbigatstart@localhost,10,80,1,throwbigatstart@localhost
throwbigatend@localhost,throwbigatendtakeall@localhost,50,40,1,throwbigatendtakeall@localhost
throwbigatend@localhost,throwbigatstart@localhost,0,90,2,throwbigatstart@localhost
throwbigatstarttakeall@localhost,throwbigatend@localhost,20,70,1,throwbigatend@localhost
throwbigatend@localhost,throwbigatendtakeall@localhost,40,50,1,throwbigatendtakeall@localhost
throwbigatend@localhost,randomdraw@localhost,60,30,1,randomdraw@localhost
throwbigatstart@localhost,randomdraw@localhost,60,30,1,randomdraw@localhost
throwbigatstarttakeall@localhost,throwbigatstart@localhost,40,50,1,throwbigatstarttakeall@localhost
throwbigatendtakeall@localhost,throwbigatstarttakeall@localhost,50,40,1,throwbigatendtakeall@localhost
throwbigatend@localhost,throwbigatendtakeall@localhost,50,40,1,throwbigatendtakeall@localhost
throwbigatend@localhost,throwbigatstart@localhost,70,20,1,throwbigatend@localhost
throwbigatstart@localhost,randomdraw@localhost,90,0,2,randomdraw@localhost
throwbigatstart@localhost,throwbigatstarttakeall@localhost,30,60,1,throwbigatstart@localhost
throwbigatstarttakeall@localhost,throwbigatend@localhost,60,30,1,throwbigatstarttakeall@localhost
randomdraw@localhost,throwbigatendtakeall@localhost,20,70,1,throwbigatendtakeall@localhost
throwbigatstarttakeall@localhost,throwbigatendtakeall@localhost,50,40,1,throwbigatstarttakeall@localhost
randomdraw@localhost,throwbigatstarttakeall@localhost,10,80,1,throwbigatstarttakeall@localhost
throwbigatendtakeall@localhost,randomdraw@localhost,50,40,1,randomdraw@localhost
throwbigatendtakeall@localhost,randomdraw@localhost,40,50,1,throwbigatendtakeall@localhost
throwbigatstarttakeall@localhost,throwbigatendtakeall@localhost,50,40,1,throwbigatstarttakeall@localhost
throwbigatendtakeall@localhost,randomdraw@localhost,50,40,1,throwbigatendtakeall@localhost
throwbigatendtakeall@localhost,throwbigatend@localhost,70,20,1,throwbigatendtakeall@localhost
throwbigatend@localhost,throwbigatendtakeall@localhost,50,40,1,throwbigatendtakeall@localhost
throwbigatstart@localhost,throwbigatendtakeall@localhost,70,20,1,throwbigatendtakeall@localhost
